SignalTime,Instrument,Direction,Score,Strike,EntryPrice,ExpiryPrice,ExpiryTime,Result,Spread_pips,MAE_pips,MFE_pips
2026-05-31 22:00:02,GBPNZD,SELL,-6,32,2.24613,2.24711,2026-06-01 00:00:02,LOSS,1.5,26.6,10.3
2026-05-31 23:20:56,NZDUSD,BUY,+6,11,0.59714,0.59790,2026-06-01 01:20:56,WIN,1.5,1.7,13.6
2026-05-31 23:20:56,USDJPY,BUY,+6,16,159.35600,159.38200,2026-06-01 01:20:56,WIN,1.5,3.7,7.5
2026-05-31 23:45:55,GBPAUD,SELL,-6,23,1.87374,1.87313,2026-06-01 01:45:55,WIN,1.5,10.6,14.7
2026-06-01 04:30:00,EURAUD,SELL,-7,26,1.62012,1.62102,2026-06-01 06:30:00,LOSS,1.5,23.7,0.6
2026-06-01 08:55:55,EURCAD,BUY,+7,18,1.60952,1.61016,2026-06-01 10:55:55,WIN,1.5,3.8,15.1
2026-06-01 09:40:55,USDCAD,BUY,+6,16,1.38161,1.38210,2026-06-01 11:40:55,WIN,1.5,4.7,6.2
2026-06-01 15:45:00,GBPUSD,SELL,-7,22,1.34258,1.34471,2026-06-01 17:45:00,LOSS,1.5,29.6,19.3
2026-06-01 15:55:57,USDCAD,BUY,+8,17,1.38463,1.38378,2026-06-01 17:55:57,LOSS,1.5,19.9,2.6
2026-06-01 15:55:57,USDCHF,BUY,+7,12,0.78817,0.78680,2026-06-01 17:55:57,LOSS,1.5,21.0,2.7
2026-06-01 16:50:56,GBPCHF,BUY,+7,13,1.05788,1.05869,2026-06-01 18:50:56,WIN,1.5,5.9,11.7
2026-06-01 17:30:56,EURGBP,SELL,-6,9,0.86426,0.86379,2026-06-01 19:30:56,WIN,1.5,2.8,5.4
2026-06-01 20:00:00,EURJPY,BUY,+6,21,185.72700,185.74500,2026-06-01 22:00:00,WIN,1.5,3.2,9.2
2026-06-02 15:35:57,GBPCHF,BUY,+10,12,1.05925,1.05922,2026-06-02 17:35:57,LOSS,1.5,4.5,5.9
2026-06-02 18:30:57,EURGBP,SELL,-8,9,0.86324,0.86332,2026-06-02 20:30:57,LOSS,1.5,3.4,0.9
2026-06-02 18:45:00,USDCHF,BUY,+6,12,0.78730,0.78764,2026-06-02 20:45:00,WIN,1.5,3.0,11.0
2026-06-02 19:45:01,GBPCHF,BUY,+8,14,1.06040,1.06031,2026-06-02 21:45:01,LOSS,1.5,2.4,2.8
2026-06-02 20:55:57,EURJPY,BUY,+6,19,185.95600,186.01400,2026-06-02 22:55:57,WIN,1.5,1.3,10.9
2026-06-02 23:05:57,EURGBP,SELL,-10,9,0.86298,0.86363,2026-06-03 01:05:57,LOSS,1.5,8.6,1.8
2026-06-03 10:20:57,USDJPY,BUY,+6,12,159.72400,159.82100,2026-06-03 12:20:57,WIN,1.5,35.9,15.7
2026-06-03 14:30:57,EURUSD,SELL,-6,13,1.16060,1.16007,2026-06-03 16:30:57,WIN,1.5,2.5,9.6
2026-06-03 14:40:57,GBPUSD,SELL,-7,23,1.34287,1.34256,2026-06-03 16:40:57,WIN,1.5,9.2,7.2
2026-06-03 16:43:20,GBPCHF,BUY,+6,10,1.06153,1.06295,2026-06-03 18:43:20,WIN,1.5,2.1,15.3
2026-06-03 17:10:57,USDCAD,BUY,+6,17,1.38876,1.38900,2026-06-03 19:10:57,WIN,1.5,8.7,10.4
2026-06-03 17:45:00,GBPCAD,BUY,+6,25,1.86569,1.86407,2026-06-03 19:45:00,LOSS,1.5,18.9,6.1
2026-06-03 18:10:57,USDCHF,BUY,+8,11,0.79161,0.79254,2026-06-03 20:10:57,WIN,1.5,1.2,9.5
2026-06-03 18:40:57,GBPUSD,SELL,-7,25,1.34160,1.34149,2026-06-03 20:40:57,LOSS,1.5,12.3,4.4
2026-06-03 23:05:57,EURGBP,SELL,-6,9,0.86379,0.86456,2026-06-04 01:05:57,LOSS,1.5,9.0,0.9
2026-06-03 23:35:57,GBPCHF,BUY,+7,11,1.06230,1.06201,2026-06-04 01:35:57,LOSS,1.5,5.1,3.9
2026-06-03 23:50:57,USDCHF,BUY,+6,11,0.79180,0.79099,2026-06-04 01:50:57,LOSS,1.5,8.3,4.3
2026-06-04 11:30:00,EURJPY,BUY,+8,17,185.79600,186.01000,2026-06-04 13:30:00,WIN,1.5,1.3,28.3
2026-06-04 11:30:00,GBPJPY,BUY,+7,23,214.82800,215.05600,2026-06-04 13:30:00,WIN,1.5,5.0,30.8
2026-06-04 13:20:57,GBPUSD,BUY,+6,20,1.34552,1.34542,2026-06-04 15:20:57,LOSS,1.5,5.3,7.2
2026-06-04 13:25:57,USDCHF,SELL,-7,12,0.78730,0.78790,2026-06-04 15:25:57,LOSS,1.5,9.4,5.3
2026-06-04 13:46:10,AUDJPY,BUY,+6,23,114.18300,114.20700,2026-06-04 15:46:10,WIN,1.5,11.1,4.7
2026-06-04 14:15:00,USDJPY,BUY,+6,15,159.83500,159.91700,2026-06-04 16:15:00,WIN,1.5,4.8,9.1
2026-06-04 16:35:57,USDCHF,BUY,+6,13,0.78882,0.78869,2026-06-04 18:35:57,LOSS,1.5,7.9,2.1
2026-06-04 16:40:57,USDCAD,BUY,+6,12,1.38953,1.38971,2026-06-04 18:40:57,WIN,1.5,6.4,9.4
2026-06-04 22:25:57,GBPUSD,SELL,-6,20,1.34203,1.34231,2026-06-05 00:25:57,LOSS,1.5,9.1,3.3
2026-06-04 23:04:36,EURGBP,SELL,-8,9,0.86425,0.86500,2026-06-05 01:04:36,LOSS,1.5,8.8,1.7
2026-06-04 23:15:57,USDCAD,BUY,+7,13,1.39076,1.39059,2026-06-05 01:15:57,LOSS,1.5,10.6,1.3
2026-06-04 23:34:40,GBPCHF,BUY,+7,14,1.05946,1.05951,2026-06-05 01:34:40,LOSS,1.5,9.3,4.4
2026-06-05 03:25:57,USDCAD,BUY,+8,11,1.39113,1.39030,2026-06-05 05:25:57,LOSS,1.5,11.7,0.6
2026-06-05 12:30:57,EURGBP,SELL,-9,9,0.86355,0.86419,2026-06-05 14:30:57,LOSS,1.5,8.7,0.1
2026-06-05 14:30:58,CADJPY,BUY,+7,11,115.33500,115.13100,2026-06-05 16:30:58,LOSS,1.5,34.0,2.4
2026-06-05 14:35:57,GBPCHF,BUY,+9,12,1.06295,1.06351,2026-06-05 16:35:57,WIN,1.5,11.3,8.1
2026-06-05 14:35:57,GBPNZD,BUY,+6,27,2.29347,2.30045,2026-06-05 16:35:57,WIN,1.5,18.8,78.8
2026-06-05 14:37:37,USDCHF,BUY,+10,10,0.79143,0.79459,2026-06-05 16:37:37,WIN,1.5,8.5,33.4
2026-06-05 14:37:37,EURUSD,SELL,-8,15,1.16061,1.15558,2026-06-05 16:37:37,WIN,1.5,11.2,52.3
2026-06-05 14:37:37,USDCAD,BUY,+7,11,1.38815,1.39135,2026-06-05 16:37:37,WIN,1.5,8.4,37.7
2026-06-05 14:55:57,NZDUSD,SELL,-10,11,0.58479,0.58221,2026-06-05 16:55:57,WIN,1.5,1.2,33.4
2026-06-05 14:55:57,USDJPY,BUY,+9,11,160.14200,160.25000,2026-06-05 16:55:57,WIN,1.5,41.6,13.6
2026-06-05 14:55:57,GBPUSD,SELL,-7,24,1.34130,1.33809,2026-06-05 16:55:57,WIN,1.5,8.9,33.6
2026-06-05 22:08:02,GBPNZD,BUY,+8,30,2.30180,2.30117,2026-06-06 00:08:02,LOSS,1.5,13.1,11.2
2026-06-08 05:03:29,USDJPY,BUY,+6,20,160.38500,160.34000,2026-06-08 07:03:29,LOSS,1.5,9.8,0.7
2026-06-08 07:58:29,USDCHF,BUY,+6,13,0.79781,0.79789,2026-06-08 09:58:29,LOSS,1.5,11.1,1.5
2026-06-08 09:23:29,EURGBP,SELL,-6,9,0.86377,0.86393,2026-06-08 11:23:29,LOSS,1.5,5.0,2.0
2026-06-08 10:58:29,CADJPY,SELL,-6,13,114.71200,114.75000,2026-06-08 12:58:29,LOSS,1.5,7.5,13.8
2026-06-08 11:36:27,USDCAD,BUY,+8,12,1.39530,1.39317,2026-06-08 13:36:27,LOSS,1.5,23.5,0.4
2026-06-08 13:13:29,GBPCHF,BUY,+7,14,1.06444,1.06267,2026-06-08 15:13:29,LOSS,1.5,26.3,0.8
2026-06-08 13:15:00,AUDUSD,BUY,+6,15,0.70709,0.70695,2026-06-08 15:15:00,LOSS,1.5,4.9,6.9
2026-06-08 13:21:31,GBPNZD,SELL,-7,27,2.29004,2.29170,2026-06-08 15:21:31,LOSS,1.5,29.5,7.6
2026-06-08 13:23:29,EURGBP,SELL,-9,9,0.86342,0.86448,2026-06-08 15:23:29,LOSS,1.5,13.0,1.7
2026-06-08 15:48:29,USDCAD,BUY,+6,12,1.39374,1.39520,2026-06-08 17:48:29,WIN,1.5,2.1,15.5
2026-06-08 19:48:29,USDCAD,BUY,+8,13,1.39544,1.39545,2026-06-08 21:48:29,LOSS,1.5,9.0,1.7
2026-06-09 01:33:29,NZDUSD,SELL,-8,10,0.58043,0.58140,2026-06-09 03:33:29,LOSS,1.5,9.8,5.7
2026-06-09 02:23:29,GBPUSD,SELL,-7,18,1.33322,1.33492,2026-06-09 04:23:29,LOSS,1.5,20.7,0.8
2026-06-09 07:38:29,GBPNZD,SELL,-6,29,2.28879,2.29283,2026-06-09 09:38:29,LOSS,1.5,44.6,22.6
2026-06-09 08:18:29,EURAUD,SELL,-6,18,1.63387,1.63659,2026-06-09 10:18:29,LOSS,1.5,34.1,1.4
2026-06-09 09:48:29,GBPAUD,BUY,+6,24,1.89560,1.89798,2026-06-09 11:48:29,WIN,1.5,5.2,31.0
2026-06-09 10:38:29,GBPJPY,BUY,+6,20,214.34700,214.54800,2026-06-09 12:38:29,WIN,1.5,9.8,21.9
2026-06-09 11:18:29,GBPCAD,BUY,+7,21,1.86573,1.86649,2026-06-09 13:18:29,WIN,1.5,5.9,10.6
2026-06-09 11:48:29,EURCAD,BUY,+6,16,1.61089,1.61111,2026-06-09 13:48:29,WIN,1.5,1.0,9.5
2026-06-09 15:38:29,GBPAUD,BUY,+6,26,1.90067,1.90426,2026-06-09 17:38:29,WIN,1.5,14.7,44.5
2026-06-09 16:18:29,AUDJPY,SELL,-6,19,112.79100,112.55000,2026-06-09 18:18:29,WIN,1.5,12.1,26.2
2026-06-09 16:18:29,AUDUSD,SELL,-6,13,0.70398,0.70207,2026-06-09 18:18:29,WIN,1.5,8.5,20.8
2026-06-09 16:28:29,GBPCAD,BUY,+7,26,1.86884,1.86736,2026-06-09 18:28:29,LOSS,1.5,19.8,14.4
2026-06-09 16:33:29,EURCAD,BUY,+6,16,1.61319,1.61181,2026-06-09 18:33:29,LOSS,1.5,16.5,6.2
2026-06-09 16:38:29,EURAUD,BUY,+6,25,1.64231,1.64495,2026-06-09 18:38:29,WIN,1.5,8.9,30.7
2026-06-09 16:43:29,USDCAD,BUY,+10,11,1.39548,1.39650,2026-06-09 18:43:29,WIN,1.5,13.4,14.0
2026-06-09 17:33:29,USDCHF,BUY,+7,11,0.79744,0.79756,2026-06-09 19:33:29,LOSS,1.5,5.4,17.1
2026-06-09 18:23:29,EURUSD,SELL,-7,16,1.15422,1.15513,2026-06-09 20:23:29,LOSS,1.5,10.9,13.7
2026-06-09 20:53:29,GBPCHF,BUY,+7,16,1.06826,1.06816,2026-06-09 22:53:29,LOSS,1.5,2.1,3.5
2026-06-09 23:13:30,USDCHF,BUY,+6,13,0.79832,0.79882,2026-06-10 01:13:30,WIN,1.5,10.6,7.1
2026-06-10 01:53:30,GBPCHF,BUY,+6,18,1.06866,1.06906,2026-06-10 03:53:30,WIN,1.5,2.7,4.1
2026-06-10 05:53:30,GBPCHF,BUY,+6,17,1.06941,1.06872,2026-06-10 07:53:30,LOSS,1.5,8.5,1.1
2026-06-10 07:18:30,GBPNZD,BUY,+8,36,2.30291,2.30194,2026-06-10 09:18:30,LOSS,1.5,22.8,5.4
2026-06-10 10:38:30,GBPCHF,BUY,+6,16,1.06962,1.06938,2026-06-10 12:38:30,LOSS,1.5,8.1,3.6
2026-06-10 11:38:30,GBPJPY,BUY,+6,28,214.84400,214.71300,2026-06-10 13:38:30,LOSS,1.5,15.4,16.5
2026-06-10 11:53:30,EURJPY,BUY,+6,19,185.43900,185.19200,2026-06-10 13:53:30,LOSS,1.5,29.6,3.1
2026-06-10 12:08:30,GBPNZD,BUY,+8,42,2.30508,2.30508,2026-06-10 14:08:30,LOSS,1.5,20.2,10.0
2026-06-10 15:38:30,GBPJPY,BUY,+8,32,215.13100,214.88900,2026-06-10 17:38:30,LOSS,1.5,27.0,9.9
2026-06-10 15:53:30,CADJPY,BUY,+7,10,115.33100,115.19700,2026-06-10 17:53:30,LOSS,1.5,17.3,2.6
2026-06-10 15:53:30,EURJPY,BUY,+7,25,185.49900,185.38200,2026-06-10 17:53:30,LOSS,1.5,33.7,5.9
2026-06-10 16:53:30,USDCHF,BUY,+6,13,0.79780,0.79851,2026-06-10 18:53:30,WIN,1.5,1.1,16.7
2026-06-10 17:48:30,NZDUSD,SELL,-6,16,0.58136,0.58119,2026-06-10 19:48:30,WIN,1.5,12.9,5.0
2026-06-10 22:03:30,USDCHF,BUY,+8,12,0.79997,0.80006,2026-06-11 00:03:30,LOSS,1.5,13.0,2.3
2026-06-10 22:03:30,GBPUSD,SELL,-7,26,1.33709,1.33574,2026-06-11 00:03:30,WIN,1.5,2.6,14.7
2026-06-10 22:03:30,NZDUSD,SELL,-7,16,0.57998,0.57887,2026-06-11 00:03:30,WIN,1.5,1.8,12.9
2026-06-10 22:53:30,GBPNZD,BUY,+7,38,2.30632,2.30591,2026-06-11 00:53:30,LOSS,1.5,41.2,17.8
2026-06-10 23:00:01,EURUSD,SELL,-6,24,1.15342,1.15298,2026-06-11 01:00:01,WIN,1.5,5.9,6.3
2026-06-10 23:08:30,EURGBP,SELL,-7,9,0.86209,0.86327,2026-06-11 01:08:30,LOSS,1.5,12.4,0.0
2026-06-11 03:48:30,EURCAD,BUY,+6,25,1.60988,1.60881,2026-06-11 05:48:30,LOSS,1.5,11.3,0.5
2026-06-11 14:23:30,EURUSD,SELL,-7,19,1.15223,1.15244,2026-06-11 16:23:30,LOSS,1.5,21.1,6.0
2026-06-11 15:48:30,EURCAD,BUY,+7,22,1.61421,1.61271,2026-06-11 17:48:30,LOSS,1.5,21.2,6.9
2026-06-11 16:18:30,GBPUSD,SELL,-8,21,1.33382,1.33317,2026-06-11 18:18:30,WIN,1.5,6.3,13.9
2026-06-11 16:53:30,USDCAD,BUY,+8,19,1.40213,1.40058,2026-06-11 18:53:30,LOSS,1.5,23.5,2.2
2026-06-11 16:53:30,CADJPY,SELL,-6,9,114.48900,114.62000,2026-06-11 18:53:30,LOSS,1.5,17.5,2.5
2026-06-11 19:33:30,AUDUSD,BUY,+7,12,0.70210,0.70515,2026-06-11 21:33:30,WIN,1.5,18.0,33.8
2026-06-11 19:33:30,GBPCAD,BUY,+7,35,1.87144,1.87355,2026-06-11 21:33:30,WIN,1.5,26.1,26.0
2026-06-11 19:48:30,EURAUD,SELL,-7,23,1.64358,1.64268,2026-06-11 21:48:30,WIN,1.5,14.5,13.4
2026-06-11 23:53:30,GBPJPY,BUY,+6,50,214.63300,214.81200,2026-06-12 01:53:30,WIN,1.5,26.5,19.3
2026-06-12 00:00:00,GBPAUD,SELL,-6,28,1.90101,1.90383,2026-06-12 02:00:00,LOSS,1.5,32.4,0.0
2026-06-12 04:13:08,GBPJPY,BUY,+6,48,214.91500,214.94100,2026-06-12 06:13:08,WIN,1.5,10.0,6.0
2026-06-12 08:58:46,EURJPY,BUY,+6,33,185.55000,185.32600,2026-06-12 10:58:46,LOSS,1.5,25.5,0.2
2026-06-12 09:28:30,USDCAD,BUY,+6,20,1.39895,1.39762,2026-06-12 11:28:30,LOSS,1.5,16.3,5.9
2026-06-12 09:58:30,EURCAD,BUY,+6,25,1.61788,1.61948,2026-06-12 11:58:30,WIN,1.5,6.3,21.0
2026-06-12 16:58:30,AUDJPY,BUY,+6,19,112.96900,112.94900,2026-06-12 18:58:30,LOSS,1.5,8.7,11.7
2026-06-12 16:58:30,EURAUD,SELL,-6,23,1.64182,1.64182,2026-06-12 18:58:30,LOSS,1.5,9.9,12.8
2026-06-12 17:28:30,AUDUSD,BUY,+6,17,0.70584,0.70500,2026-06-12 19:28:30,LOSS,1.5,15.5,1.1
2026-06-12 23:00:01,EURGBP,SELL,-8,9,0.86252,0.00000,2026-06-13 01:00:01,INVALID,0.0,0.0,0.0
2026-06-13 03:03:30,EURGBP,SELL,-7,9,0.86252,0.00000,2026-06-13 05:03:30,INVALID,0.0,0.0,0.0
2026-06-13 07:03:30,EURGBP,SELL,-7,9,0.86252,0.00000,2026-06-13 09:03:30,INVALID,0.0,0.0,0.0
2026-06-13 11:03:30,EURGBP,SELL,-7,9,0.86252,0.00000,2026-06-13 13:03:30,INVALID,0.0,0.0,0.0
2026-06-13 15:03:30,EURGBP,SELL,-7,9,0.86252,0.00000,2026-06-13 17:03:30,INVALID,0.0,0.0,0.0
2026-06-13 19:03:30,EURGBP,SELL,-7,9,0.86252,0.00000,2026-06-13 21:03:30,INVALID,0.0,0.0,0.0
2026-06-13 23:03:30,EURGBP,SELL,-7,9,0.86252,0.00000,2026-06-14 01:03:30,INVALID,0.0,0.0,0.0
2026-06-14 03:03:30,EURGBP,SELL,-7,9,0.86252,0.00000,2026-06-14 05:03:30,INVALID,0.0,0.0,0.0
2026-06-14 07:08:30,EURGBP,SELL,-7,9,0.86252,0.00000,2026-06-14 09:08:30,INVALID,0.0,0.0,0.0
